scan_time,league,match_time,match_date,home_team,away_team,selection,model_prob,market_prob,edge,odds,stake,potential_profit,market_id,status,result,profit
2026-01-01T19:38:20.492497,Premier League,2026-01-01T20:00:00,2026-01-01,Sunderland,Man City,draw,0.2365,0.1949,0.0416,5.1,5.03,20.62,1.251921486,pending,,
2026-01-01T19:38:20.556498,Premier League,2026-01-01T20:00:00,2026-01-01,Brentford,Tottenham,home,0.461,0.3924,0.0686,2.54,11.1,17.09,1.251918179,pending,,
